,datetime,method,gender,age,total
57,30-11-2023 14:45:00,EXIT,male,95,-4
58,30-11-2023 14:50:00,EXIT,female,35,-5
59,30-11-2023 14:55:00,ENTER,female,64,-4
60,30-11-2023 15:00:00,ENTER,male,7,-3
61,30-11-2023 15:05:00,ENTER,male,98,-2
62,30-11-2023 15:10:00,ENTER,female,92,-1
63,30-11-2023 15:15:00,EXIT,male,83,-2
64,30-11-2023 15:20:00,EXIT,male,17,-3
65,30-11-2023 15:25:00,ENTER,male,29,-2
66,30-11-2023 15:30:00,ENTER,male,32,-1
67,30-11-2023 15:35:00,ENTER,male,23,0
68,30-11-2023 15:40:00,ENTER,male,87,1
69,30-11-2023 15:45:00,ENTER,female,35,2
70,30-11-2023 15:50:00,EXIT,male,87,1
71,30-11-2023 15:55:00,ENTER,male,63,2
72,30-11-2023 16:00:00,EXIT,female,33,1
73,30-11-2023 16:05:00,ENTER,female,76,2
74,30-11-2023 16:10:00,EXIT,male,84,1
75,30-11-2023 16:15:00,ENTER,male,57,2
76,30-11-2023 16:20:00,ENTER,male,38,3
77,30-11-2023 16:25:00,ENTER,female,46,4
78,30-11-2023 16:30:00,EXIT,female,32,3
79,30-11-2023 16:35:00,ENTER,female,29,4
80,30-11-2023 16:40:00,EXIT,female,81,3
81,30-11-2023 16:45:00,EXIT,female,14,2
82,30-11-2023 16:50:00,EXIT,male,46,1
83,30-11-2023 16:55:00,ENTER,male,49,2
84,30-11-2023 17:00:00,EXIT,male,80,1
85,30-11-2023 17:05:00,ENTER,female,25,2
86,30-11-2023 17:10:00,EXIT,male,63,1
87,30-11-2023 17:15:00,EXIT,male,92,0
88,30-11-2023 17:20:00,EXIT,female,89,-1
89,30-11-2023 17:25:00,EXIT,female,57,-2
90,30-11-2023 17:30:00,ENTER,female,43,-1
91,30-11-2023 17:35:00,EXIT,male,82,-2
92,30-11-2023 17:40:00,EXIT,female,89,-3
93,30-11-2023 17:45:00,EXIT,male,17,-4
94,30-11-2023 17:50:00,ENTER,female,29,-3
95,30-11-2023 17:55:00,EXIT,female,46,-4
96,30-11-2023 18:00:00,ENTER,female,36,-3
97,30-11-2023 18:05:00,EXIT,male,7,-4
98,30-11-2023 18:10:00,EXIT,male,26,-5
99,30-11-2023 18:15:00,ENTER,male,50,-4
100,30-11-2023 18:20:00,EXIT,female,60,-5
101,30-11-2023 18:25:00,ENTER,female,80,-4
102,30-11-2023 18:30:00,EXIT,male,58,-5
103,30-11-2023 18:35:00,EXIT,male,95,-6
104,30-11-2023 18:40:00,ENTER,female,35,-5
105,30-11-2023 18:45:00,EXIT,female,86,-6
106,30-11-2023 18:50:00,ENTER,male,99,-5
107,30-11-2023 18:55:00,EXIT,male,83,-6
108,30-11-2023 19:00:00,EXIT,female,64,-7
109,30-11-2023 19:05:00,ENTER,male,86,-6
110,30-11-2023 19:10:00,EXIT,female,33,-7
111,30-11-2023 19:15:00,ENTER,female,38,-6
112,30-11-2023 19:20:00,ENTER,female,68,-5
113,30-11-2023 19:25:00,EXIT,female,7,-6
114,30-11-2023 19:30:00,EXIT,female,61,-7
115,30-11-2023 19:35:00,EXIT,male,76,-8
116,30-11-2023 19:40:00,EXIT,male,15,-9
117,30-11-2023 19:45:00,EXIT,male,59,-10
118,30-11-2023 19:50:00,EXIT,male,57,-11
119,30-11-2023 19:55:00,ENTER,male,17,-10
120,30-11-2023 20:00:00,EXIT,female,88,-11
121,30-11-2023 20:05:00,EXIT,male,39,-12
122,30-11-2023 20:10:00,EXIT,male,21,-13
123,30-11-2023 20:15:00,EXIT,male,14,-14
124,30-11-2023 20:20:00,ENTER,female,29,-13
125,30-11-2023 20:25:00,ENTER,female,51,-12
126,30-11-2023 20:30:00,EXIT,male,18,-13
127,30-11-2023 20:35:00,ENTER,female,27,-12
128,30-11-2023 20:40:00,EXIT,female,74,-13
129,30-11-2023 20:45:00,ENTER,male,96,-12
130,30-11-2023 20:50:00,ENTER,male,14,-11
131,30-11-2023 20:55:00,EXIT,male,26,-12
132,30-11-2023 21:00:00,EXIT,male,93,-13
133,30-11-2023 21:05:00,EXIT,male,30,-14
134,30-11-2023 21:10:00,ENTER,female,60,-13
135,30-11-2023 21:15:00,EXIT,male,13,-14
136,30-11-2023 21:20:00,ENTER,female,93,-13
137,30-11-2023 21:25:00,ENTER,female,30,-12
138,30-11-2023 21:30:00,ENTER,female,51,-11
139,30-11-2023 21:35:00,EXIT,male,45,-12
140,30-11-2023 21:40:00,EXIT,male,30,-13
141,30-11-2023 21:45:00,EXIT,male,77,-14
142,30-11-2023 21:50:00,ENTER,male,44,-13
143,30-11-2023 21:55:00,EXIT,male,99,-14
144,30-11-2023 22:00:00,ENTER,male,82,-13
145,30-11-2023 22:05:00,ENTER,female,64,-12
146,30-11-2023 22:10:00,ENTER,female,95,-11
147,30-11-2023 22:15:00,EXIT,male,84,-12
148,30-11-2023 22:20:00,EXIT,male,83,-13
149,30-11-2023 22:25:00,EXIT,female,64,-14
150,30-11-2023 22:30:00,ENTER,male,58,-13
151,30-11-2023 22:35:00,ENTER,female,40,-12
152,30-11-2023 22:40:00,ENTER,female,58,-11
153,30-11-2023 22:45:00,EXIT,male,77,-12
154,30-11-2023 22:50:00,ENTER,male,21,-11
155,30-11-2023 22:55:00,EXIT,male,20,-12
156,30-11-2023 23:00:00,ENTER,male,64,-11
157,30-11-2023 23:05:00,EXIT,female,30,-12
158,30-11-2023 23:10:00,EXIT,female,80,-13
159,30-11-2023 23:15:00,EXIT,male,44,-14
160,30-11-2023 23:20:00,EXIT,male,95,-15
161,30-11-2023 23:25:00,ENTER,male,82,-14
162,30-11-2023 23:30:00,ENTER,male,71,-13
163,30-11-2023 23:35:00,EXIT,female,17,-14
164,30-11-2023 23:40:00,EXIT,female,18,-15
165,30-11-2023 23:45:00,ENTER,female,35,-14
166,30-11-2023 23:50:00,ENTER,female,23,-13
167,30-11-2023 23:55:00,ENTER,female,59,-12
168,01-12-2023 00:00:00,ENTER,male,80,-11
169,01-12-2023 00:05:00,EXIT,male,47,-12
170,01-12-2023 00:10:00,EXIT,male,43,-13
171,01-12-2023 00:15:00,ENTER,male,24,-12
172,01-12-2023 00:20:00,ENTER,male,22,-11
173,01-12-2023 00:25:00,ENTER,female,71,-10
174,01-12-2023 00:30:00,ENTER,female,53,-9
175,01-12-2023 00:35:00,ENTER,female,91,-8
176,01-12-2023 00:40:00,EXIT,female,24,-9
177,01-12-2023 00:45:00,ENTER,female,98,-8
178,01-12-2023 00:50:00,ENTER,male,93,-7
179,01-12-2023 00:55:00,ENTER,female,57,-6
180,01-12-2023 01:00:00,EXIT,male,54,-7
181,01-12-2023 01:05:00,EXIT,female,88,-8
182,01-12-2023 01:10:00,ENTER,male,9,-7
183,01-12-2023 01:15:00,ENTER,female,18,-6
184,01-12-2023 01:20:00,EXIT,male,57,-7
185,01-12-2023 01:25:00,ENTER,female,54,-6
186,01-12-2023 01:30:00,ENTER,male,15,-5
187,01-12-2023 01:35:00,ENTER,female,61,-4
188,01-12-2023 01:40:00,ENTER,male,99,-3
189,01-12-2023 01:45:00,EXIT,female,27,-4
190,01-12-2023 01:50:00,EXIT,female,71,-5
191,01-12-2023 01:55:00,EXIT,female,53,-6
192,01-12-2023 02:00:00,EXIT,female,37,-7
193,01-12-2023 02:05:00,EXIT,female,74,-8
194,01-12-2023 02:10:00,EXIT,male,62,-9
195,01-12-2023 02:15:00,ENTER,male,78,-8
196,01-12-2023 02:20:00,EXIT,female,46,-9
197,01-12-2023 02:25:00,ENTER,male,19,-8
198,01-12-2023 02:30:00,EXIT,female,62,-9
199,01-12-2023 02:35:00,ENTER,female,36,-8
200,01-12-2023 02:40:00,EXIT,female,53,-9
201,01-12-2023 02:45:00,EXIT,male,15,-10
202,01-12-2023 02:50:00,EXIT,male,98,-11
203,01-12-2023 02:55:00,EXIT,female,23,-12
204,01-12-2023 03:00:00,ENTER,male,24,-11
205,01-12-2023 03:05:00,ENTER,female,8,-10
206,01-12-2023 03:10:00,EXIT,female,55,-11
207,01-12-2023 03:15:00,EXIT,male,23,-12
208,01-12-2023 03:20:00,EXIT,male,23,-13
209,01-12-2023 03:25:00,EXIT,female,44,-14
210,01-12-2023 03:30:00,ENTER,male,30,-13
211,01-12-2023 03:35:00,EXIT,male,69,-14
212,01-12-2023 03:40:00,EXIT,female,26,-15
213,01-12-2023 03:45:00,EXIT,female,40,-16
214,01-12-2023 03:50:00,ENTER,male,99,-15
215,01-12-2023 03:55:00,ENTER,female,61,-14
216,01-12-2023 04:00:00,EXIT,female,41,-15
217,01-12-2023 04:05:00,ENTER,female,25,-14
218,01-12-2023 04:10:00,ENTER,male,82,-13
219,01-12-2023 04:15:00,ENTER,female,97,-12
220,01-12-2023 04:20:00,EXIT,male,41,-13
221,01-12-2023 04:25:00,EXIT,female,7,-14
222,01-12-2023 04:30:00,ENTER,male,32,-13
223,01-12-2023 04:35:00,ENTER,female,14,-12
224,01-12-2023 04:40:00,EXIT,male,20,-13
225,01-12-2023 04:45:00,ENTER,female,35,-12
226,01-12-2023 04:50:00,ENTER,male,66,-11
227,01-12-2023 04:55:00,ENTER,female,48,-10
228,01-12-2023 05:00:00,ENTER,female,28,-9
229,01-12-2023 05:05:00,EXIT,male,33,-10
230,01-12-2023 05:10:00,ENTER,female,9,-9
231,01-12-2023 05:15:00,EXIT,male,25,-10
232,01-12-2023 05:20:00,ENTER,female,38,-9
233,01-12-2023 05:25:00,ENTER,female,28,-8
234,01-12-2023 05:30:00,EXIT,female,34,-9
235,01-12-2023 05:35:00,ENTER,female,28,-8
236,01-12-2023 05:40:00,EXIT,female,54,-9
237,01-12-2023 05:45:00,EXIT,male,36,-10
238,01-12-2023 05:50:00,EXIT,male,72,-11
239,01-12-2023 05:55:00,ENTER,male,25,-10
240,01-12-2023 06:00:00,EXIT,male,93,-11
241,01-12-2023 06:05:00,EXIT,female,7,-12
242,01-12-2023 06:10:00,ENTER,male,49,-11
243,01-12-2023 06:15:00,EXIT,female,41,-12
244,01-12-2023 06:20:00,ENTER,female,32,-11
245,01-12-2023 06:25:00,EXIT,female,31,-12
246,01-12-2023 06:30:00,EXIT,female,32,-13
247,01-12-2023 06:35:00,ENTER,female,85,-12
248,01-12-2023 06:40:00,EXIT,male,20,-13
249,01-12-2023 06:45:00,ENTER,male,41,-12
250,01-12-2023 06:50:00,ENTER,female,22,-11
251,01-12-2023 06:55:00,ENTER,male,82,-10
252,01-12-2023 07:00:00,ENTER,male,52,-9
253,01-12-2023 07:05:00,ENTER,female,69,-8
254,01-12-2023 07:10:00,EXIT,female,70,-9
255,01-12-2023 07:15:00,ENTER,female,89,-8
256,01-12-2023 07:20:00,EXIT,male,93,-9
257,01-12-2023 07:25:00,ENTER,female,79,-8
258,01-12-2023 07:30:00,EXIT,female,46,-9
259,01-12-2023 07:35:00,EXIT,female,56,-10
260,01-12-2023 07:40:00,EXIT,female,77,-11
261,01-12-2023 07:45:00,EXIT,male,80,-12
262,01-12-2023 07:50:00,ENTER,male,60,-11
263,01-12-2023 07:55:00,ENTER,male,49,-10
264,01-12-2023 08:00:00,ENTER,female,16,-9
265,01-12-2023 08:05:00,EXIT,female,67,-10
266,01-12-2023 08:10:00,ENTER,female,17,-9
267,01-12-2023 08:15:00,ENTER,female,55,-8
268,01-12-2023 08:20:00,EXIT,female,16,-9
269,01-12-2023 08:25:00,ENTER,female,54,-8
270,01-12-2023 08:30:00,EXIT,female,91,-9
271,01-12-2023 08:35:00,EXIT,male,76,-10
272,01-12-2023 08:40:00,EXIT,female,92,-11
273,01-12-2023 08:45:00,ENTER,female,72,-10
274,01-12-2023 08:50:00,ENTER,female,61,-9
275,01-12-2023 08:55:00,ENTER,male,98,-8
276,01-12-2023 09:00:00,ENTER,female,78,-7
277,01-12-2023 09:05:00,EXIT,male,30,-8
278,01-12-2023 09:10:00,ENTER,male,94,-7
279,01-12-2023 09:15:00,EXIT,male,99,-8
280,01-12-2023 09:20:00,ENTER,female,84,-7
281,01-12-2023 09:25:00,ENTER,female,41,-6
282,01-12-2023 09:30:00,EXIT,female,11,-7
283,01-12-2023 09:35:00,ENTER,male,33,-6
284,01-12-2023 09:40:00,ENTER,female,87,-5
285,01-12-2023 09:45:00,EXIT,female,43,-6
286,01-12-2023 09:50:00,EXIT,female,89,-7
287,01-12-2023 09:55:00,ENTER,male,83,-6
288,01-12-2023 10:00:00,EXIT,female,89,-7
289,01-12-2023 10:05:00,ENTER,female,26,-6
290,01-12-2023 10:10:00,ENTER,female,55,-5
291,01-12-2023 10:15:00,EXIT,male,90,-6
292,01-12-2023 10:20:00,EXIT,female,79,-7
293,01-12-2023 10:25:00,EXIT,female,7,-8
294,01-12-2023 10:30:00,EXIT,male,27,-9
295,01-12-2023 10:35:00,EXIT,male,31,-10
296,01-12-2023 10:40:00,EXIT,female,70,-11
297,01-12-2023 10:45:00,ENTER,female,41,-10
298,01-12-2023 10:50:00,ENTER,female,86,-9
299,01-12-2023 10:55:00,ENTER,male,46,-8
300,01-12-2023 11:00:00,EXIT,female,66,-9
301,01-12-2023 11:05:00,EXIT,female,97,-10
302,01-12-2023 11:10:00,ENTER,male,35,-9
303,01-12-2023 11:15:00,ENTER,female,62,-8
304,01-12-2023 11:20:00,EXIT,female,54,-9
305,01-12-2023 11:25:00,EXIT,female,23,-10
306,01-12-2023 11:30:00,ENTER,male,20,-9
307,01-12-2023 11:35:00,EXIT,male,73,-10
308,01-12-2023 11:40:00,ENTER,male,74,-9
309,01-12-2023 11:45:00,ENTER,male,87,-8
310,01-12-2023 11:50:00,EXIT,male,81,-9
311,01-12-2023 11:55:00,ENTER,female,15,-8
312,01-12-2023 12:00:00,EXIT,female,96,-9
313,01-12-2023 12:05:00,ENTER,male,90,-8
314,01-12-2023 12:10:00,ENTER,female,94,-7
315,01-12-2023 12:15:00,ENTER,male,46,-6
316,01-12-2023 12:20:00,ENTER,male,58,-5
317,01-12-2023 12:25:00,ENTER,male,16,-4
318,01-12-2023 12:30:00,ENTER,male,70,-3
319,01-12-2023 12:35:00,EXIT,male,52,-4
320,01-12-2023 12:40:00,EXIT,male,86,-5
321,01-12-2023 12:45:00,ENTER,female,89,-4
322,01-12-2023 12:50:00,EXIT,male,10,-5
323,01-12-2023 12:55:00,EXIT,male,30,-6
324,01-12-2023 13:00:00,EXIT,female,33,-7
325,01-12-2023 13:05:00,EXIT,male,80,-8
326,01-12-2023 13:10:00,EXIT,female,10,-9
327,01-12-2023 13:15:00,EXIT,female,21,-10
328,01-12-2023 13:20:00,ENTER,female,62,-9
329,01-12-2023 13:25:00,ENTER,female,32,-8
330,01-12-2023 13:30:00,EXIT,male,61,-9
331,01-12-2023 13:35:00,EXIT,female,68,-10
332,01-12-2023 13:40:00,ENTER,male,32,-9
333,01-12-2023 13:45:00,ENTER,female,95,-8
334,01-12-2023 13:50:00,EXIT,male,23,-9
335,01-12-2023 13:55:00,EXIT,male,31,-10
336,01-12-2023 14:00:00,EXIT,male,12,-11
337,01-12-2023 14:05:00,ENTER,female,87,-10
338,01-12-2023 14:10:00,EXIT,female,25,-11
339,01-12-2023 14:15:00,EXIT,female,65,-12
340,01-12-2023 14:20:00,ENTER,female,78,-11
341,01-12-2023 14:25:00,ENTER,female,32,-10
342,01-12-2023 14:30:00,EXIT,female,23,-11
343,01-12-2023 14:35:00,ENTER,female,14,-10
344,01-12-2023 14:40:00,ENTER,male,19,-9
345,01-12-2023 14:45:00,EXIT,male,79,-10
346,01-12-2023 14:50:00,EXIT,female,51,-11
347,01-12-2023 14:55:00,ENTER,male,74,-10
348,01-12-2023 15:00:00,ENTER,male,62,-9
349,01-12-2023 15:05:00,ENTER,female,25,-8
350,01-12-2023 15:10:00,ENTER,male,70,-7
351,01-12-2023 15:15:00,ENTER,male,92,-6
352,01-12-2023 15:20:00,EXIT,female,12,-7
353,01-12-2023 15:25:00,EXIT,female,96,-8
354,01-12-2023 15:30:00,EXIT,female,64,-9
355,01-12-2023 15:35:00,ENTER,female,89,-8
356,01-12-2023 15:40:00,EXIT,female,100,-9
357,01-12-2023 15:45:00,ENTER,male,8,-8
358,01-12-2023 15:50:00,EXIT,female,19,-9
359,01-12-2023 15:55:00,EXIT,female,17,-10
360,01-12-2023 16:00:00,ENTER,female,51,-9
361,01-12-2023 16:05:00,EXIT,male,16,-10
362,01-12-2023 16:10:00,EXIT,male,33,-11
363,01-12-2023 16:15:00,EXIT,male,33,-12
364,01-12-2023 16:20:00,ENTER,female,97,-11
365,01-12-2023 16:25:00,ENTER,female,92,-10
366,01-12-2023 16:30:00,ENTER,female,74,-9
367,01-12-2023 16:35:00,EXIT,female,49,-10
368,01-12-2023 16:40:00,EXIT,female,7,-11
369,01-12-2023 16:45:00,ENTER,male,25,-10
370,01-12-2023 16:50:00,ENTER,male,8,-9
371,01-12-2023 16:55:00,ENTER,female,11,-8
372,01-12-2023 17:00:00,EXIT,male,98,-9
373,01-12-2023 17:05:00,EXIT,male,94,-10
374,01-12-2023 17:10:00,EXIT,male,76,-11
375,01-12-2023 17:15:00,ENTER,female,19,-10
376,01-12-2023 17:20:00,ENTER,female,86,-9
377,01-12-2023 17:25:00,EXIT,female,31,-10
378,01-12-2023 17:30:00,ENTER,female,48,-9
379,01-12-2023 17:35:00,EXIT,male,62,-10
380,01-12-2023 17:40:00,ENTER,male,45,-9
381,01-12-2023 17:45:00,ENTER,female,36,-8
382,01-12-2023 17:50:00,ENTER,female,43,-7
383,01-12-2023 17:55:00,ENTER,female,88,-6
384,01-12-2023 18:00:00,ENTER,male,61,-5
385,01-12-2023 18:05:00,EXIT,female,24,-6
386,01-12-2023 18:10:00,ENTER,female,56,-5
387,01-12-2023 18:15:00,EXIT,male,68,-6
388,01-12-2023 18:20:00,ENTER,female,19,-5
389,01-12-2023 18:25:00,ENTER,female,20,-4
390,01-12-2023 18:30:00,EXIT,female,16,-5
391,01-12-2023 18:35:00,ENTER,female,89,-4
392,01-12-2023 18:40:00,ENTER,female,62,-3
393,01-12-2023 18:45:00,ENTER,female,38,-2
394,01-12-2023 18:50:00,ENTER,male,45,-1
395,01-12-2023 18:55:00,ENTER,female,88,0
396,01-12-2023 19:00:00,EXIT,male,66,-1
397,01-12-2023 19:05:00,EXIT,female,77,-2
398,01-12-2023 19:10:00,EXIT,male,34,-3
399,01-12-2023 19:15:00,ENTER,male,22,-2
400,01-12-2023 19:20:00,EXIT,female,61,-3
401,01-12-2023 19:25:00,ENTER,male,69,-2
402,01-12-2023 19:30:00,ENTER,male,18,-1
403,01-12-2023 19:35:00,ENTER,female,66,0
404,01-12-2023 19:40:00,EXIT,male,51,-1
405,01-12-2023 19:45:00,ENTER,female,21,0
406,01-12-2023 19:50:00,EXIT,female,80,-1
407,01-12-2023 19:55:00,ENTER,female,63,0
408,01-12-2023 20:00:00,EXIT,male,55,-1
409,01-12-2023 20:05:00,EXIT,female,80,-2
410,01-12-2023 20:10:00,ENTER,female,88,-1
411,01-12-2023 20:15:00,EXIT,male,92,-2
412,01-12-2023 20:20:00,ENTER,male,43,-1
413,01-12-2023 20:25:00,EXIT,male,75,-2
414,01-12-2023 20:30:00,ENTER,female,85,-1
415,01-12-2023 20:35:00,EXIT,male,15,-2
416,01-12-2023 20:40:00,ENTER,female,48,-1
417,01-12-2023 20:45:00,ENTER,female,26,0
418,01-12-2023 20:50:00,EXIT,male,49,-1
419,01-12-2023 20:55:00,EXIT,female,19,-2
420,01-12-2023 21:00:00,EXIT,female,56,-3
421,01-12-2023 21:05:00,EXIT,female,24,-4
422,01-12-2023 21:10:00,EXIT,male,56,-5
423,01-12-2023 21:15:00,ENTER,female,34,-4
424,01-12-2023 21:20:00,EXIT,female,78,-5
425,01-12-2023 21:25:00,EXIT,female,36,-6
426,01-12-2023 21:30:00,EXIT,female,94,-7
427,01-12-2023 21:35:00,EXIT,male,72,-8
428,01-12-2023 21:40:00,EXIT,male,29,-9
429,01-12-2023 21:45:00,EXIT,female,94,-10
430,01-12-2023 21:50:00,ENTER,female,87,-9
431,01-12-2023 21:55:00,ENTER,male,65,-8
432,01-12-2023 22:00:00,EXIT,female,87,-9
433,01-12-2023 22:05:00,ENTER,female,28,-8
434,01-12-2023 22:10:00,EXIT,female,23,-9
435,01-12-2023 22:15:00,EXIT,male,91,-10
436,01-12-2023 22:20:00,EXIT,female,82,-11
437,01-12-2023 22:25:00,ENTER,male,41,-10
438,01-12-2023 22:30:00,ENTER,female,41,-9
439,01-12-2023 22:35:00,ENTER,male,90,-8
440,01-12-2023 22:40:00,EXIT,male,49,-9
441,01-12-2023 22:45:00,ENTER,male,54,-8
442,01-12-2023 22:50:00,EXIT,male,41,-9
443,01-12-2023 22:55:00,EXIT,male,88,-10
444,01-12-2023 23:00:00,ENTER,male,35,-9
445,01-12-2023 23:05:00,EXIT,male,16,-10
446,01-12-2023 23:10:00,EXIT,female,21,-11
447,01-12-2023 23:15:00,ENTER,male,88,-10
448,01-12-2023 23:20:00,EXIT,male,61,-11
449,01-12-2023 23:25:00,EXIT,male,63,-12
450,01-12-2023 23:30:00,EXIT,male,70,-13
451,01-12-2023 23:35:00,ENTER,female,25,-12
452,01-12-2023 23:40:00,ENTER,female,56,-11
453,01-12-2023 23:45:00,EXIT,female,86,-12
454,01-12-2023 23:50:00,ENTER,female,58,-11
455,01-12-2023 23:55:00,ENTER,female,59,-10
456,02-12-2023 00:00:00,ENTER,female,34,-9
457,02-12-2023 00:05:00,ENTER,female,22,-8
458,02-12-2023 00:10:00,ENTER,male,97,-7
459,02-12-2023 00:15:00,EXIT,male,36,-8
460,02-12-2023 00:20:00,EXIT,male,37,-9
461,02-12-2023 00:25:00,EXIT,male,23,-10
462,02-12-2023 00:30:00,ENTER,female,76,-9
463,02-12-2023 00:35:00,ENTER,female,62,-8
464,02-12-2023 00:40:00,EXIT,female,8,-9
465,02-12-2023 00:45:00,ENTER,male,22,-8
466,02-12-2023 00:50:00,EXIT,male,42,-9
467,02-12-2023 00:55:00,ENTER,male,98,-8
468,02-12-2023 01:00:00,EXIT,male,67,-9
469,02-12-2023 01:05:00,ENTER,female,79,-8
470,02-12-2023 01:10:00,EXIT,male,47,-9
471,02-12-2023 01:15:00,ENTER,male,22,-8
472,02-12-2023 01:20:00,ENTER,male,23,-7
473,02-12-2023 01:25:00,EXIT,male,88,-8
474,02-12-2023 01:30:00,ENTER,male,12,-7
475,02-12-2023 01:35:00,EXIT,female,63,-8
476,02-12-2023 01:40:00,EXIT,female,84,-9
477,02-12-2023 01:45:00,EXIT,female,55,-10
478,02-12-2023 01:50:00,EXIT,female,58,-11
479,02-12-2023 01:55:00,EXIT,male,49,-12
480,02-12-2023 02:00:00,ENTER,male,45,-11
481,02-12-2023 02:05:00,EXIT,male,18,-12
482,02-12-2023 02:10:00,ENTER,male,97,-11
483,02-12-2023 02:15:00,EXIT,male,23,-12
484,02-12-2023 02:20:00,EXIT,female,70,-13
485,02-12-2023 02:25:00,ENTER,female,18,-12
486,02-12-2023 02:30:00,EXIT,female,12,-13
487,02-12-2023 02:35:00,EXIT,male,74,-14
488,02-12-2023 02:40:00,ENTER,female,82,-13
489,02-12-2023 02:45:00,EXIT,female,86,-14
490,02-12-2023 02:50:00,ENTER,male,96,-13
491,02-12-2023 02:55:00,EXIT,male,70,-14
492,02-12-2023 03:00:00,ENTER,male,25,-13
493,02-12-2023 03:05:00,EXIT,male,28,-14
494,02-12-2023 03:10:00,EXIT,female,98,-15
495,02-12-2023 03:15:00,EXIT,female,73,-16
496,02-12-2023 03:20:00,ENTER,male,47,-15
497,02-12-2023 03:25:00,ENTER,male,60,-14
498,02-12-2023 03:30:00,EXIT,female,9,-15
499,02-12-2023 03:35:00,ENTER,female,40,-14
500,02-12-2023 03:40:00,EXIT,female,74,-15
501,02-12-2023 03:45:00,EXIT,female,81,-16
502,02-12-2023 03:50:00,ENTER,female,60,-15
503,02-12-2023 03:55:00,ENTER,male,72,-14
504,02-12-2023 04:00:00,ENTER,female,8,-13
505,02-12-2023 04:05:00,EXIT,female,38,-14
506,02-12-2023 04:10:00,EXIT,female,37,-15
507,02-12-2023 04:15:00,EXIT,male,94,-16
508,02-12-2023 04:20:00,ENTER,male,63,-15
509,02-12-2023 04:25:00,EXIT,male,38,-16
510,02-12-2023 04:30:00,EXIT,male,8,-17
511,02-12-2023 04:35:00,ENTER,male,77,-16
512,02-12-2023 04:40:00,EXIT,male,27,-17
513,02-12-2023 04:45:00,ENTER,male,92,-16
514,02-12-2023 04:50:00,ENTER,male,25,-15
515,02-12-2023 04:55:00,ENTER,male,94,-14
516,02-12-2023 05:00:00,ENTER,female,71,-13
517,02-12-2023 05:05:00,EXIT,female,89,-14
518,02-12-2023 05:10:00,EXIT,male,63,-15
519,02-12-2023 05:15:00,EXIT,male,56,-16
